31.2304	121.4737 28.739749
43.8256	87.6168 20.41956
36.0611	103.8343 29.924086
39.9042	116.4074 25.220161
32.0603	118.7969 26.093389
28.6829	115.8579 31.931174
31.8206	117.2272 26.424474
40.8427	111.748 26.460533
45.8038	126.534 23.887648
37.87	112.5489 25.253776
23.1291	113.2644 34.797786
30.5728	104.0668 31.642047
29.65	91.1 26.195598
25.0389	102.7183 31.790637
30.2741	120.1551 29.899153
30.5928	114.3055 29.966601
41.745	123.4315 25.841408
36.6512	117.12 26.0
20.0442	110.1983 33.523301
22.5431	114.0579 34.59218
38.0428	114.5149 23.973578
26.0745	119.2965 33.984281
36.6171	101.7778 29.342981
34.3416	108.9398 29.352043
26.5737	106.7135 30.930579
34.7466	113.6253 25.584725
29.563	106.5516 29.859479
38.4861	106.2309 27.892951
43.8171	125.3235 24.858125
28.2282	112.9388 31.293058
39.0842	117.2009 25.431172
22.3193	114.1694 34.597268
22.1667	113.55 35.049552
25.033	121.5654 33.364922
22.8192	108.3665 33.215283
